epoch conv ff
2.990000000000000000e+02 3.511045374716377676e-06 1.359904534183442701e-04
3.000000000000000000e+02 3.318167155443232670e-06 1.302251825109124238e-04
3.010000000000000000e+02 3.578768272815838883e-06 1.458551152609288584e-04
3.020000000000000000e+02 3.213229434852994622e-06 8.811680017970502919e-05
3.030000000000000000e+02 3.746899409374490995e-06 1.580924727022647858e-04
3.040000000000000000e+02 3.618288797649847131e-06 1.580615411512553746e-04
3.050000000000000000e+02 3.517615911331746183e-06 1.280639320611953790e-04
3.060000000000000000e+02 4.069072824072039544e-06 1.799193094484508146e-04
3.070000000000000000e+02 3.437778387071644153e-06 1.370416721329092979e-04
3.080000000000000000e+02 3.517606593511447903e-06 1.322242547757923549e-04
3.090000000000000000e+02 3.526880463622951677e-06 1.268684281967580318e-04
3.100000000000000000e+02 3.627666064334379538e-06 1.457027625292539542e-04
3.110000000000000000e+02 3.748875805993758978e-06 1.584903453476726955e-04
3.120000000000000000e+02 3.593891493861482448e-06 1.491952920332551057e-04
3.130000000000000000e+02 4.055373882716268930e-06 1.940216636285185705e-04
3.140000000000000000e+02 3.812614816142426147e-06 1.561062061227858175e-04
3.150000000000000000e+02 3.900028315074058888e-06 1.798763405531644821e-04
3.160000000000000000e+02 3.398766762011099831e-06 1.150000025518238544e-04
3.170000000000000000e+02 3.649615303718579866e-06 1.542062731459736878e-04
3.180000000000000000e+02 3.697860739592028365e-06 1.431300537660718018e-04
3.190000000000000000e+02 3.779305486197902646e-06 1.461996813304722255e-04
3.200000000000000000e+02 3.236546774868139213e-06 9.452040540054440227e-05
3.210000000000000000e+02 3.474598191594746778e-06 1.216530916281044456e-04
3.220000000000000000e+02 4.153077021942184039e-06 1.929989433847367818e-04
3.230000000000000000e+02 3.502342116082761266e-06 1.226441585458815152e-04
3.240000000000000000e+02 3.401720002674078458e-06 1.097271335311234024e-04
3.250000000000000000e+02 3.280907002616267707e-06 8.936465019360184669e-05
3.260000000000000000e+02 3.413072615449770960e-06 1.117687788791954517e-04
3.270000000000000000e+02 3.897971416799020855e-06 1.705935923382639939e-04
3.280000000000000000e+02 3.591583705267545227e-06 1.316546578891575228e-04
3.290000000000000000e+02 3.524957257601908371e-06 1.283906400203704780e-04
3.300000000000000000e+02 3.449826605528363735e-06 1.165188965387642329e-04
3.310000000000000000e+02 3.520938092324285441e-06 1.213457901030778912e-04
3.320000000000000000e+02 3.757935650700961258e-06 1.522998325526714433e-04
3.330000000000000000e+02 3.522241310472821474e-06 1.353544881567358916e-04
3.340000000000000000e+02 3.682524197294215942e-06 1.475042779929936041e-04
3.350000000000000000e+02 3.283634843179460097e-06 1.113730133511126069e-04
3.360000000000000000e+02 3.640215585404478555e-06 1.368541037663817460e-04
3.370000000000000000e+02 3.558142657982975297e-06 1.121137524023652131e-04
3.380000000000000000e+02 3.716434268181113760e-06 1.395905390381813158e-04
3.390000000000000000e+02 3.718037016652992775e-06 1.447340007871389497e-04
3.400000000000000000e+02 3.996452500622648670e-06 1.690587028861045783e-04
3.410000000000000000e+02 3.737768278654561589e-06 1.509563298895955086e-04
3.420000000000000000e+02 3.610620127008631747e-06 1.469122245907783400e-04
3.430000000000000000e+02 3.633107308504039060e-06 1.356966327875852531e-04
3.440000000000000000e+02 3.377233211299960540e-06 9.257310302928090367e-05
3.450000000000000000e+02 3.481546619531943316e-06 1.162288826890289783e-04
3.460000000000000000e+02 3.652555139475534018e-06 1.334390719421207796e-04
3.470000000000000000e+02 3.363590464380344052e-06 1.043615979142487103e-04
3.480000000000000000e+02 3.406553350157481315e-06 1.039869152009487206e-04
3.490000000000000000e+02 3.921092365793157176e-06 1.739098341204226125e-04
3.500000000000000000e+02 3.862354502413009015e-06 1.683158217929303538e-04
3.510000000000000000e+02 3.924605891540537423e-06 1.595230540260672678e-04
3.520000000000000000e+02 3.600862031623046229e-06 1.300561008974909674e-04
3.530000000000000000e+02 3.505408776602139629e-06 1.000024611130356762e-04
3.540000000000000000e+02 3.393363122149863676e-06 8.593215025030077046e-05
3.550000000000000000e+02 3.658355743954305924e-06 1.301120384596288096e-04
3.560000000000000000e+02 3.685530212907812243e-06 1.193387783132493550e-04
3.570000000000000000e+02 3.592223090919207567e-06 1.214390271343290860e-04
3.580000000000000000e+02 3.598470147869349895e-06 1.238198019564151764e-04
3.590000000000000000e+02 3.274836124703616435e-06 7.619568496011197025e-05
3.600000000000000000e+02 3.700303401314020435e-06 1.266335835680365508e-04
3.610000000000000000e+02 3.552228430291563201e-06 1.191005692817270729e-04
3.620000000000000000e+02 3.330756593589829200e-06 8.522985735908150944e-05
3.630000000000000000e+02 3.456296013901849627e-06 1.018129987642168999e-04
3.640000000000000000e+02 3.776083662256584879e-06 1.355882384814322103e-04
3.650000000000000000e+02 3.625372688011568856e-06 1.419777050614356940e-04
3.660000000000000000e+02 3.771961559236241776e-06 1.388814882375299822e-04
3.670000000000000000e+02 3.650912181363680892e-06 1.204977277666330310e-04
3.680000000000000000e+02 3.799660412813092956e-06 1.384400296956300790e-04
3.690000000000000000e+02 4.266592340280983384e-06 1.955200918018817956e-04
3.700000000000000000e+02 3.666600116797944603e-06 1.511708484031259959e-04
3.710000000000000000e+02 3.920495895494247985e-06 1.432506716810166727e-04
3.720000000000000000e+02 3.562931770964448294e-06 1.187764341011643464e-04
3.730000000000000000e+02 3.879849408329629833e-06 1.652715145610272884e-04
3.740000000000000000e+02 3.512421718057086884e-06 1.010339939966797856e-04
3.750000000000000000e+02 3.565538641657150485e-06 1.069126068614423329e-04
3.760000000000000000e+02 3.732273805829387544e-06 1.628883415833115523e-04
3.770000000000000000e+02 3.510388151259005515e-06 1.077173510566353798e-04
3.780000000000000000e+02 3.526301547469845594e-06 9.859740966930985993e-05
3.790000000000000000e+02 3.594376382554258901e-06 1.197956502437591607e-04
3.800000000000000000e+02 3.701884506150533418e-06 1.314373570494353825e-04
3.810000000000000000e+02 3.726387170311673670e-06 1.276369206607341821e-04
3.820000000000000000e+02 3.780262649252293393e-06 1.343996613286435658e-04
3.830000000000000000e+02 3.818496450388299795e-06 1.374811981804668903e-04
3.840000000000000000e+02 3.944521017764343470e-06 1.614005072042346055e-04
3.850000000000000000e+02 3.666663026788379202e-06 1.182735548354685279e-04
3.860000000000000000e+02 3.545915101186879867e-06 1.004135934635996764e-04
