t risk
5.551000000000000000e+03 5.752225399017333984e+00
5.637000000000000000e+03 5.752223968505859375e+00
5.725000000000000000e+03 5.752224922180175781e+00
5.814000000000000000e+03 5.752224922180175781e+00
5.905000000000000000e+03 5.752225399017333984e+00
5.997000000000000000e+03 5.752224922180175781e+00
6.091000000000000000e+03 5.752225399017333984e+00
6.186000000000000000e+03 5.752224922180175781e+00
6.282000000000000000e+03 5.752224922180175781e+00
6.380000000000000000e+03 5.752224922180175781e+00
6.480000000000000000e+03 5.752224922180175781e+00
6.581000000000000000e+03 5.752224922180175781e+00
6.684000000000000000e+03 5.752224922180175781e+00
6.788000000000000000e+03 5.752224922180175781e+00
6.894000000000000000e+03 5.752225399017333984e+00
7.001000000000000000e+03 5.752224922180175781e+00
7.111000000000000000e+03 5.752224922180175781e+00
7.222000000000000000e+03 5.752223968505859375e+00
7.334000000000000000e+03 5.752223968505859375e+00
7.449000000000000000e+03 5.752223968505859375e+00
7.565000000000000000e+03 5.752223968505859375e+00
7.683000000000000000e+03 5.752225399017333984e+00
7.803000000000000000e+03 5.752223968505859375e+00
7.924000000000000000e+03 5.752223968505859375e+00
8.048000000000000000e+03 5.752223968505859375e+00
